number,detailed_number,name,form_name,form_category,category,type_1,type_2,hgt_ft,hgt_m,wgt_lbs,wgt_kg,bmi,gen,hp,attack,defense,sp_atk,sp_def,speed,total,evolves_to,evo_family,stage
1,1,Bulbasaur,,,,Grass,Poison,2.333,0.7,15.2,6.9,14.1,1,45,49,49,65,65,45,318,2,1,1
2,2,Ivysaur,,,,Grass,Poison,3.25,1,28.7,13,13,1,60,62,63,80,80,60,405,3,1,2
3,3,Venusaur,,,,Grass,Poison,6.583,2,220.5,100,25,1,80,82,83,100,100,80,525,,1,3
3,3.1,Venusaur,Mega Venusaur,Mega,Mega,Grass,Poison,7.833,2.4,342.8,155.5,27,6,80,100,123,122,120,80,625,,1,4
4,4,Charmander,,,,Fire,,2,0.6,18.7,8.5,23.6,1,39,52,43,60,50,65,309,5,4,1
5,5,Charmeleon,,,,Fire,,3.583,1.1,41.9,19,15.7,1,58,64,58,80,65,80,405,6,4,2
6,6,Charizard,,,,Fire,Flying,5.583,1.7,199.5,90.5,31.3,1,78,84,78,109,85,100,534,,4,3
6,6.1,Charizard,Mega Charizard X,Mega,Mega,Fire,Dragon,5.583,1.7,243.6,110.5,38.2,6,78,130,111,130,85,100,634,,4,4
6,6.2,Charizard,Mega Charizard Y,Mega,Mega,Fire,Flying,5.583,1.7,221.6,100.5,34.8,6,78,104,78,159,115,100,634,,4,4
7,7,Squirtle,,,,Water,,1.667,0.5,19.8,9,36,1,44,48,65,50,64,43,314,8,7,1
8,8,Wartortle,,,,Water,,3.25,1,49.6,22.5,22.5,1,59,63,80,65,80,58,405,9,7,2
9,9,Blastoise,,,,Water,,5.25,1.6,188.5,85.5,33.4,1,79,83,100,85,105,78,530,,7,3
9,9.1,Blastoise,Mega Blastoise,Mega,Mega,Water,,5.25,1.6,222.9,101.1,39.5,6,79,103,120,135,115,78,630,,7,4
10,10,Caterpie,,,,Bug,,1,0.3,6.4,2.9,32.2,1,45,30,35,20,20,45,195,11,10,1
11,11,Metapod,,,,Bug,,2.333,0.7,21.8,9.9,20.2,1,50,20,55,25,25,30,205,12,10,2
12,12,Butterfree,,,,Bug,Flying,3.583,1.1,70.5,32,26.4,1,60,45,50,90,80,70,395,,10,3
13,13,Weedle,,,,Bug,Poison,1,0.3,7.1,3.2,35.6,1,40,35,30,20,20,50,195,14,13,1
14,14,Kakuna,,,,Bug,Poison,2,0.6,22,10,27.8,1,45,25,50,25,25,35,205,15,13,2
15,15,Beedrill,,,,Bug,Poison,3.25,1,65,29.5,29.5,1,65,90,40,45,80,75,395,,13,3
15,15.1,Beedrill,Mega Beedrill,Mega,Mega,Bug,Poison,4.583,1.4,89.3,40.5,20.7,6,65,150,40,15,80,145,495,,13,4
16,16,Pidgey,,,,Normal,Flying,1,0.3,4,1.8,20,1,40,45,40,35,35,56,251,17,16,1
17,17,Pidgeotto,,,,Normal,Flying,3.583,1.1,66.1,30,24.8,1,63,60,55,50,50,71,349,18,16,2
18,18,Pidgeot,,,,Normal,Flying,4.917,1.5,87.1,39.5,17.6,1,83,80,75,70,70,101,479,,16,3
18,18.1,Pidgeot,Mega Pidgeot,Mega,Mega,Normal,Flying,7.25,2.2,111.3,50.5,10.4,6,83,80,80,135,80,121,579,,16,4
19,19,Rattata,,,,Normal,,1,0.3,7.7,3.5,38.9,1,30,56,35,25,35,72,253,20,19,1
19,19.1,Rattata,Alolan Rattata,Regional,,Dark,Normal,1,0.3,8.4,3.8,42.2,7,30,56,35,25,35,72,253,20.1,19.1,1
20,20,Raticate,,,,Normal,,2.333,0.7,40.8,18.5,37.8,1,55,81,60,50,70,97,413,,19,2
20,20.1,Raticate,Alolan Raticate,Regional,,Dark,Normal,2.333,0.7,56.2,25.5,52,7,75,71,70,40,80,77,413,,19.1,2
21,21,Spearow,,,,Normal,Flying,1,0.3,4.4,2,22.2,1,40,60,30,31,31,70,262,22,21,1
22,22,Fearow,,,,Normal,Flying,3.917,1.2,83.8,38,26.4,1,65,90,65,61,61,100,442,,21,2
23,23,Ekans,,,,Poison,,6.583,2,15.2,6.9,1.7,1,35,60,44,40,54,55,288,24,23,1
24,24,Arbok,,,,Poison,,11.5,3.5,143.3,65,5.3,1,60,95,69,65,79,80,448,,23,2
25,25,Pikachu,,,,Electric,,1.333,0.4,13.2,6,37.5,1,35,55,40,50,50,90,320,"26,26.1",25,2
26,26,Raichu,,,,Electric,,2.583,0.8,66.1,30,46.9,1,60,90,55,90,80,110,485,,25,3
26,26.1,Raichu,Alolan Raichu,Regional,,Electric,Psychic,2.333,0.7,46.3,21,42.9,7,60,85,50,95,85,110,485,,25,3
27,27,Sandshrew,,,,Ground,,2,0.6,26.5,12,33.3,1,50,75,85,20,30,40,300,28,27,1
27,27.1,Sandshrew,Alolan Sandshrew,Regional,,Ice,Steel,2.333,0.7,88.2,40,81.6,7,50,75,90,10,35,40,300,28.1,27.1,1
28,28,Sandslash,,,,Ground,,3.25,1,65,29.5,29.5,1,75,100,110,45,55,65,450,,27,2
28,28.1,Sandslash,Alolan Sandslash,Regional,,Ice,Steel,3.917,1.2,121.3,55,38.2,7,75,100,120,25,65,65,450,,27.1,2
29,29,NidoranF,,,,Poison,,1.333,0.4,15.4,7,43.8,1,55,47,52,40,40,41,275,30,29,1
30,30,Nidorina,,,,Poison,,2.583,0.8,44.1,20,31.3,1,70,62,67,55,55,56,365,31,29,2
31,31,Nidoqueen,,,,Poison,Ground,4.25,1.3,132.3,60,35.5,1,90,92,87,75,85,76,505,,29,3
32,32,NidoranM,,,,Poison,,1.667,0.5,19.8,9,36,1,46,57,40,40,40,50,273,33,32,1
